Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Асаула,Анастасія,Лідійовна,Жінка,1967.05.11,Агроном,селище Хирів,"вулиця Метрополітенівський, буд. 92, Радивилів, 72866",+380 (16) 768-11-79,andreikoalevtyn@example.net
Мамчур,Олена,Ростиславівна,Жінка,1967.03.29,Ді-джей,хутір Хрустальний,"парк Жолкова Бориса, буд. 612, Південне , 39221",568-25-38,sofiiaavramchuk@example.com
Алексійчук,Емілія,Марківна,Жінка,1962.02.11,Кіноактор,хутір Київ,"шосе 10-та Лінія Марії Демченко, буд. 249, Пустомити, 65541",+380 01 873 34 01,tzatovkaniuk@example.org
Охріменко,Дмитро,Русланович,Чоловік,1988.07.30,Фермер,місто Яворів,"сквер Олександра Невського, буд. 07, Лутугине, 95789",+380 40 889 40 56,qzakharchenko@example.org
Ніколюк,Борис,Антігонівна,Чоловік,1977.09.10,Конструктор,хутір Попасна,"площа Кримський, буд. 9 кв. 75, Лисичанськ, 36739",+380 40 785 26 51,wzhalilo@example.org
Хоменко,Богдан,Іларіонівна,Чоловік,1988.06.23,Мовознавець,село Алупка,"провулок Проектна 1-ша, буд. 4 кв. 474, Бахчисарай, 92984",413 37 66,kovalenkosolomiia@example.net
Сірченко,Валентин,Лідійовна,Чоловік,1985.02.02,Нотаріус,хутір Балта,"шосе Кругова, буд. 924, Калинівка , 53136",+380 07 621 71 51,hodunokiaroslava@example.org
Гаврилів,Аврелій,Несторович,Чоловік,1989.09.18,Гицель,селище Нова Одеса,"набережна Студентський 4-й, буд. 9, Полтава, 89739",+380 (21) 492-28-33,mcherinko@example.org
Демиденко,Мартин,Корнеліївна,Чоловік,2003.08.16,Електрик,село Харцизьк,"площа Шота Руставелі, буд. 94 кв. 084, Слов'янськ, 53214",780 63 82,gzinkevych@example.net
Петрик,Аліна,Семенівна,Жінка,1972.09.10,Секретар,хутір Глиняни,"вулиця Артезіанська, буд. 729 кв. 1, Рожище, 04938",141-35-89,arsenychnestor@example.com
Пустовіт,Софія,Дорофіївна,Жінка,1978.04.17,Драматург,місто Переяслав,"провулок Кипарисний 2-й, буд. 3, Єнакієве, 58501",956-11-98,ludovychenko@example.net
Лукаш,Вікторія,Святославівна,Жінка,1987.04.26,Продюсер,селище Коломия,"проспект Полуничний, буд. 94, Чорнобиль, 08515",492-55-79,azarbabychenko@example.net
Жук,Віра,Єфросинівна,Жінка,1968.06.25,Конструктор,селище Першотравенськ,"вулиця Десята, буд. 04, Соледар, 95055",883 86 14,viktor30@example.org
Скопенко,Охрім,Лаврінівна,Чоловік,1960.01.30,Архітектор,хутір Рені,"парк Отрадна, буд. 2 кв. 42, Сновськ, 78781",942 03 75,iaroslavtykhyi@example.net
Худобʼяк,Нестор,Мстиславович,Чоловік,1984.06.17,Гінеколог,хутір Немирів,"площа Новоселів, буд. 6, Луцьк, 93548",+380 (51) 530-95-21,zatovkaniukalevtyn@example.net
Юрчук,Петро,Юрійович,Чоловік,1988.07.24,Водій,село Черкаси,"набережна Олексіївська, буд. 9 кв. 757, Біла Церква, 07838",056 378-74-90,lupiidemyd@example.com
Дахно,Олекса,Артемівна,Чоловік,1984.11.06,Акушер,селище Алчевськ,"площа Осіння, буд. 48, Харків, 05027",156-95-26,varvarahaivoronskyi@example.net
Єфименко,Аркадій,Філімонівна,Чоловік,1991.03.28,Геофізик,селище Сокиряни,"проспект Дунаєвського 3-й, буд. 736 кв. 09, Кам'янка-Дніпровська, 92750",513 34 44,heorhii44@example.org
Засуха,Соломон,Альбертівна,Чоловік,1993.11.02,Конструктор,хутір Сулимівка (Слов'янськ),"проспект Ползунова 2-й, буд. 34 кв. 46, Покровськ, 19124",437-74-31,zzaruba@example.net
Байрак,Віра,Дмитрович,Жінка,1966.12.12,Маркетолог,селище Сарни,"сквер Бузковий 2-й, буд. 7, Миколаїв, 60520",+380 71 885-46-56,anitaishchak@example.org
Сірченко,Валентина,Вітольдівна,Жінка,1993.10.11,Програміст,селище Олександрія,"шосе Слави, буд. 337, Білицьке, 52628",013 157-26-20,riabetspanas@example.org
Удовиченко,Марʼяна,Трифонівна,Жінка,1958.09.26,Хореограф,село Кам'янка-Дніпровська,"вулиця Привозна, буд. 64 кв. 58, Жовква, 65630",+380 51 452-71-54,sofiialysenko@example.com
Вахній,Оксенія,Спартаківна,Жінка,1984.08.11,Футболіст,село Новоазовськ,"шосе Лузанівський, буд. 5 кв. 2, Соледар, 36491",+380 (09) 828-47-65,khrystynasaienko@example.net
Левченко,Сергій,Васильович,Чоловік,1991.09.07,Біолог,село Івано-Франківськ,"шосе Аеропортівська, буд. 232, Рахів, 63229",+380 76 369 24 63,ustym33@example.net
Верхола,Леонтій,Філімонівна,Чоловік,1963.10.07,Медик,селище Берестечко,"парк Архітекторська, буд. 004 кв. 1, Броди, 86160",319-07-55,ekylymnyk@example.net
Ковпак,Станіслав,Гордіївна,Чоловік,2000.07.17,Геолог,місто Добропілля,"узвіз Ползунова 1-й, буд. 14 кв. 19, Стебник, 68943",062 334-15-58,albinasheremeta@example.com
Андрієвич,Климент,Казимирівна,Чоловік,1989.03.17,Євнух,селище Старокостянтинів,"провулок Гена Іоганна, буд. 054 кв. 41, Подільськ, 55906",098-14-38,bairakievhen@example.org
Павличенко,Зиновій,Костянтинівна,Чоловік,1954.10.08,Стоматолог,хутір Ходорів,"шосе Садова 4-та, буд. 3 кв. 947, Заставна, 48100",+380 33 138-79-08,zaporozhetssemen@example.org
Колодуб,Георгій,Мар’янівна,Чоловік,1962.04.30,Хореограф,місто Святогірськ,"сквер Лугова, буд. 75 кв. 784, Буча, 90570",079-78-00,akymenkobohuslava@example.org
Вернигора,Анжела,Назаріївна,Жінка,1960.08.12,Дантист,селище Буринь,"площа Костанді, буд. 2, Бердичів, 25095",092 689-13-23,martynvlasiuk@example.net
